#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
Cualquiera	Anyone/whoever ✓	Vem som helst	Pronoun	Cualquiera puede participar en la reunión.	Anyone can participate in the meeting.	The word Cualquiera comes from the Latin qualis, meaning of what kind. Its used to refer to any person or thing without distinction.	Pronoun
La esquina	The corner ✓	Det hörnet	Phrase	La esquina está llena de flores.	The corner is full of flowers.	La esquina literally means the corner and often refers to a space where two streets meet, playing a vital role in urban geography.	Phrase
El mandamás	The boss (informal) ✓	Chefen	Noun	El mandamás siempre toma las decisiones importantes.	The boss always makes the important decisions.	Fun fact: Mandamás comes from the Spanish verb mandar, which means to command, reflecting authority and leadership in informal contexts.	Noun
Subir	To go up/increase ✓	Att gå upp/öka	Verb	Voy a subir la montaña.	I am going to go up the mountain.	The verb subir originates from the Latin subire, meaning to go up or from under.	Verb
Al pasar	Upon passing ✓	Vid passerande	Conjunction/subjunction	Al pasar la puerta, vi a mi amigo.	Upon passing the door, I saw my friend.	The phrase Al pasar combines al, meaning upon or upon doing, and pasar, meaning to pass, showcasing how Spanish often combines prepositions with verbs to express actions.	Conjunction/subjunction
El lado	The side ✓	Sidan	Noun	El lado de la casa es azul.	The side of the house is blue.	The word lado comes from Latin latus, meaning side or broad, reflecting its use to describe physical orientation.	Noun
El edificio	The building ✓	Byggnaden	Noun	El edificio es alto.	The building is tall.	The word edificio comes from the Latin aedificium, which means a building; structure.	Noun
Los demás	The others ✓	De andra	Pronoun	Los demás están esperando.	The others are waiting.	Los demás literally means the others, and its commonly used to refer to people not included in a specific group or context.	Pronoun
Atreverse (siempre con pronombre)	To dare ✓	Att våga	Verb	Me atrevo a hablar en público.	I dare to speak in public.	Fun fact: The verb atreverse comes from Latin ad meaning to and tremere which means to tremble, originally implying the courage to face ones fears.	Verb
Sentarse	To sit down ✓	Att sätta sig	Phrase	Voy a sentarme en la silla.	I am going to sit down in the chair.	The word sentarse comes from the Latin senta(re), which means to settle or to place.	Phrase
Fijo	Fixed ✓	Fast	Adjective	El horario del tren es fijo.	The train schedule is fixed.	The term fijo comes from the Latin fixus, which means to fasten or attach, reflecting its use in contexts where stability and permanence are key.	Adjective
Así	Like this/thus ✓	Så	Adverb	Así es como se hace.	This is how it is done.	The word así originates from the Spanish word así meaning like this, and it is commonly used to provide examples or clarify instructions.	Adverb
El empleo	The job ✓	Jobbet	Noun	El empleo es importante para la economía.	The job is important for the economy.	The word empleo comes from the Latin implicare, meaning to involve or to engage.	Noun
Casarse con	To get married ✓	Att gifta sig	Verb	Ellos quieren casarse con sus amigos.	They want to get married to their friends.	The verb casarse is a reflexive verb in Spanish, indicating that the action is performed by the subject upon themselves, which is unique to certain verbs in the language.	Verb
Andar	To walk ✓	Att gå	Verb	Yo quiero andar por el parque.	I want to walk in the park.	The verb andar comes from the Latin ambulare, which means to walk and is commonly used in various Spanish-speaking countries for both walking and moving around.	Verb
Recoger	To pick up/collect ✓	Att plocka upp	Verb	Voy a recoger el libro.	I am going to pick up the book.	The verb recoger comes from the Latin word recolligere, meaning to gather together.	Verb
Tal cual	As it is/just like that ✓	Som det är	Phrase	Lo hice tal cual me dijiste.	I did it just like you told me.	The phrase tal cual reflects a straightforwardness in communication, often used to emphasize accuracy or fidelity to the original instruction.	Phrase
Fíjate	To note/look/imagine ✓	Notera	Interjection	Fíjate en las estrellas esta noche.	Note the stars tonight.	The word Fíjate comes from the verb fijar, which means to fix or to set, and is often used to draw someones attention to something important.	Interjection
La correa	The strap/belt ✓	Den remmen	Noun	La correa es muy útil.	The strap is very useful.	Correa comes from the Latin corrigia, which referred to a strap or thong used in various applications.	Noun
El pedido	The order ✓	Beställningen	Noun	El pedido llegó a tiempo.	The order arrived on time.	The word pedido comes from the verb pedir, which means to ask or to request.	Noun
El reloj	The watch/clock ✓	Klockan	Noun	El reloj está en la mesa.	The watch is on the table.	The word reloj comes from the Latin horologium, which means instrument to tell the time.	Noun
La pantalla	The screen ✓	Skärmen	Noun	La pantalla es grande.	The screen is big.	The word pantalla comes from the Latin pantex, meaning to spread out, reflecting its function of spreading images.	Noun
Enviar	To send/ship ✓	Att skicka	Verb	Voy a enviar la carta.	I am going to send the letter.	The word Enviar comes from the Latin word inviare, which means to send or to dispatch.	Verb
La herramienta	The tool ✓	Verktyget	Noun	La herramienta es muy útil.	The tool is very useful.	The word herramienta comes from the Latin ferramentum, which means instrument or implement.	Noun
Al fin y al cabo	All in all (colloquial) ✓	Allt som allt	Phrase	Al fin y al cabo, decidí quedarme en casa.	All in all, I decided to stay home.	The phrase Al fin y al cabo literally translates to In the end and at the end, highlighting a common theme in Spanish of resolution or conclusion in conversation.	Phrase
Feliz	Happy	Lycklig/glad ✓	Adjective	Estoy muy feliz hoy.	I am very happy today.	The word feliz comes from the Latin felix, meaning fruitful or lucky.	Adjective
Fiel	Faithful	Trogen ✓	Adjective	El perro es muy fiel.	The dog is very faithful.	The word fiel comes from the Latin fidelis, which means trustworthy or loyal.	Adjective
Cortés	Courteous	Artig ✓	Adjective	El señor es muy cortés.	The gentleman is very courteous.	The word Cortés comes from the Latin cortes, meaning courteous or refined, and has been used in various cultures to describe someone who is well-mannered.	Adjective
Culpable	Guilty	Skyldig ✓	Adjective	El acusado es culpable.	The defendant is guilty.	The word culpable comes from the Latin culpabilis, which means blameworthy.	Adjective
Inocente	Innocent	Oskyldig ✓	Adjective	El niño es inocente.	The boy is innocent.	The word inocente comes from the Latin innocens, which means harmless or not guilty.	Adjective
Canadiense	Canadian	Kanadensare ✓	Adjective	El hombre canadiense es amable.	The Canadian man is friendly.	The term canadiense derives from Canada, which comes from the St. Lawrence Iroquoian word kanata, meaning village or settlement.	Adjective
¿Tú qué harías en mi lugar?	What would you do in my place? ✓	Vad skulle du göra i mitt ställe?	Phrase	Si estuvieras en mi lugar, ¿tú qué harías en mi lugar?	If you were in my place, what would you do?	The phrase ¿tú qué harías en mi lugar? reflects a common rhetorical question in Spanish that emphasizes empathy and consideration of others perspectives.	Phrase
Pequeñín	Small	Pytteliten ✓	Adjective	El perro es muy pequeñín.	The dog is very small.	Pequeñín comes from pequeño, which means small, and is often used affectionately to refer to something or someone tiny.	Adjective
Holgazán	Lazy	Lat ✓	Adjective	El joven es muy holgazán.	The young man is very lazy.	Holgazán originates from the Latin hogaz, which implies a sense of idleness or laziness, and it has been used in Spanish to describe someone who avoids work.	Adjective
Mandón	Dominant	Dominant ✓	Adjective	El jefe es muy mandón.	The boss is very dominant.	The word mandón comes from mandar, which means to command in Spanish, highlighting the authoritative nature of the term.	Adjective
Ciego	Blind	Blind ✓	Adjective	El hombre ciego caminaba por la calle.	The blind man was walking down the street.	The word ciego comes from the Latin caecus, which also means blind and is the root of similar words in several languages.	Adjective
El panorama	The panorama	Utsikten ✓	Noun	El panorama es impresionante.	The panorama is breathtaking.	The word panorama comes from Greek, meaning to see all. It was originally used to describe a wide view of the surrounding area.	Noun
Tonto	Fool	Galen ✓	Adjective	Él es un tonto.	He is a fool.	The word tonto comes from the Latin tondus, meaning to cut or shave, which evolved to imply dullness or foolishness.	Adjective
Agrícola	Agricultural	Jordbruks- ✓	Adjective	La producción agrícola es esencial para la economía.	Agricultural production is essential for the economy.	The term agrícola comes from the Latin agricola, meaning farmer, which is derived from ager (field) and cola (dweller).	Adjective
Belga	Belgian	Belgisk ✓	Adjective	El chocolate belga es famoso en todo el mundo.	Belgian chocolate is famous worldwide.	The term Belga originates from the Latin Bellus meaning beautiful, influenced by the rich culture and heritage of Belgium.	Adjective
Croata	Croatian	Kroatisk ✓	Adjective	El idioma croata es hablado por millones de personas.	The Croatian language is spoken by millions of people.	The word Croata comes from the Latin term Croatus, which refers to the Croats, a South Slavic ethnic group.	Adjective
Azteca	Aztec	Aztekisk ✓	Adjective	La cultura azteca fue muy avanzada.	The Aztec culture was very advanced.	The term Aztec derives from Aztlán, which is a mythical place believed to be the origin of the Aztec people.	Adjective
Indígena	Indigenous	Infödd (ursprungsbefolkning) ✓	Adjective	Los pueblos indígenas tienen una rica cultura.	Indigenous peoples have a rich culture.	The term indígena comes from Latin indigenus, meaning born or produced in a place.	Adjective
Pasota	Apathetic	Slapp, likgiltig ✓	Adjective	Él es muy pasota con sus responsabilidades.	He is very apathetic about his responsibilities.	The term pasota comes from the Spanish slang and is often used to describe someone who is indifferent or unconcerned about important matters.	Adjective
